,Index,Name,DisplayName,PostalCode,GoogleMapsUri
45,52,places/ChIJe_OK1vALkkYRokYPqKAFx8Y,Restaurant Siipiweikot - Kamppi,00180,https://maps.google.com/?cid=14323423327447631522
46,53,places/ChIJsxEIKzUKkkYRI4ojUqODPj4,Madame Sauna&Lounge,00180,https://maps.google.com/?cid=4485167016388561443
47,54,places/ChIJ_8fbw8oLkkYRixiVgMEAtOI,Restaurant Gran Delicato,00180,https://maps.google.com/?cid=16335682579465574539
48,55,places/ChIJh6tahGkJkkYROK78C5S3LNI,Restaurant Thai Vegan Kitchen,00180,https://maps.google.com/?cid=15144681493424287288
49,56,places/ChIJHxSuSzUKkkYRJKvNmkny4fQ,Restaurant Pueblo Bar y Taqueria,00180,https://maps.google.com/?cid=17645651212958018340
50,60,places/ChIJ62k4t6ILkkYRPcc2mVGlmN8,Luckiefun’s Sushibuffet,00120,https://maps.google.com/?cid=16111809436799387453
51,61,places/ChIJiTO_9MsLkkYR7eRTkDpOjuA,Restaurant Marski: Kuusi Palaa,00100,https://maps.google.com/?cid=16180956524625257709
52,62,places/ChIJQ7DovqELkkYRSxJKnboXZlo,Hesburger Helsinki Mannerheimintie 8,00100,https://maps.google.com/?cid=6513920001308234315
53,63,places/ChIJY0IKg8sLkkYRJywnvLoJUu8,Hotel Marski by Scandic,00100,https://maps.google.com/?cid=17244856620780301351
54,64,places/ChIJtRGMn_oLkkYR3ySkFUpbQCI,Mikael Cake,00100,https://maps.google.com/?cid=2468072969547818207
55,65,places/ChIJ_1kKQgcLkkYR2OaWQ_G3CV8,Boon Nam,00120,https://maps.google.com/?cid=6848206955242514136
56,66,places/ChIJjw_n7MsLkkYRbx5KEPEu7U4,Hotel St. George Helsinki,00120,https://maps.google.com/?cid=5687253517334093423
57,68,places/ChIJxQyJissLkkYRJwQTz2XzGN4,Iguana,00100,https://maps.google.com/?cid=16003808894452433959
58,69,places/ChIJ1eSjW8gLkkYRpMVon2jCVlA,Burger King,00100,https://maps.google.com/?cid=5789028125638182308
59,70,places/ChIJyeVzd3ILkkYROg-5SWEp9RE,Red Dog Chicken Burritos,00100,https://maps.google.com/?cid=1293985965764316986
60,71,places/ChIJX92cd8wLkkYRYFuENCeFCmY,Taco Bell,00100,https://maps.google.com/?cid=7352835745067064160
61,72,places/ChIJL0IKg8sLkkYRWEOQtALGlEE,Putte's Bar & Pizza Kalevankatu,00100,https://maps.google.com/?cid=4725619623940080472
62,73,places/ChIJp0VNX7ULkkYRjlxC7a5dMwM,Subway,00100,https://maps.google.com/?cid=230631011812269198
63,74,places/ChIJPcJLgssLkkYR4G6ZGVRXbkw,OR Restaurant & Bar,00100,https://maps.google.com/?cid=5507435413039050464
64,75,places/ChIJY6QLsZoLkkYRvA3bF1Y6BWk,Bricco Kalevankatu,00100,https://maps.google.com/?cid=7567518890307816892
65,76,places/ChIJu7dNdssLkkYRzmN2lUMLl4c,Café & Confectionery Briossi,00100,https://maps.google.com/?cid=9770290301501858766
66,77,places/ChIJzeAIgssLkkYRwciaIRgMqBE,O'Malley's Torni,00100,https://maps.google.com/?cid=1272280192514705601
67,78,places/ChIJ7W1YgMsLkkYRoXJ27nEMWG8,Ravintola Karl-Johan Oy,00100,https://maps.google.com/?cid=8023176419632116385
68,79,places/ChIJsTzVhcsLkkYRp4iQoL4Kjx4,Beer Restaurant Villi Wäinö,00100,https://maps.google.com/?cid=2201990556661352615
69,80,places/ChIJadQQgcsLkkYRb1_vHcamtx4,U. Kaleva,00100,https://maps.google.com/?cid=2213421111711850351
70,81,places/ChIJI2KeessLkkYRAeg3W4dMQhc,Alces Oy,00100,https://maps.google.com/?cid=1675986155569932289
71,82,places/ChIJpTzteMwLkkYRXQQcpn4cIFA,Kosmos,00100,https://maps.google.com/?cid=5773646052567286877
72,85,places/ChIJ9fBfbcsLkkYR7qXC0rLk2HQ,Restaurant China,00100,https://maps.google.com/?cid=8419730960060425710
73,86,places/ChIJsSqiDMsLkkYRUoOmF9l72eo,Restaurant Passio,00100,https://maps.google.com/?cid=16922693247156257618
74,87,places/ChIJN9A4bcsLkkYRpV6Mwuak0Rs,Ravintola Long Wall,00100,https://maps.google.com/?cid=2004564620169993893
75,88,places/ChIJV585cMsLkkYRUurSBb9xRX4,Ravintola Parrilla Española,00100,https://maps.google.com/?cid=9098803687422356050
76,89,places/ChIJhcn7rkELkkYRzLqK20dIBxE,Fazer Café Annankatu,00100,https://maps.google.com/?cid=1227028896944929484
77,90,places/ChIJK8jzessLkkYR_YAbOCbvxVM,Pub Peräkammari,00100,https://maps.google.com/?cid=6036493822989140221
78,98,places/ChIJgy8BkBcLkkYRsJ2WoQhfpBc,Restaurant Ristorante Argegno,00100,https://maps.google.com/?cid=1703591049728269744
79,99,places/ChIJma9nyDgLkkYRb3lo_OYZBdc,Pho Viet,00100,https://maps.google.com/?cid=15493818572905937263
80,100,places/ChIJFZLdoMoLkkYR8vBTQoSX_Fk,Mei Lin Sichuan & Vegetarian Restaurant,00100,https://maps.google.com/?cid=6484224157810946290
81,101,places/ChIJdbxrga8LkkYRCM1C8lYYvgI,Yeastie Boi,00100,https://maps.google.com/?cid=197622195361598728
82,102,places/ChIJjZTN_RULkkYRVwZU8oUT4OQ,Old Durbar,00100,https://maps.google.com/?cid=16492203301447927383
83,108,places/ChIJDyNRwCILkkYRG6jkCUYbdRk,Ravintola Kansis,00100,https://maps.google.com/?cid=1834402410850986011
84,109,places/ChIJIecmNssLkkYREjYcOVKvIJ4,Compass Group Finland Oy,00100,https://maps.google.com/?cid=11394299824927684114
85,110,places/ChIJOa0PMcsLkkYRzE0zIaklq1Y,Helkatti Cat Cafe,00100,https://maps.google.com/?cid=6245126716616035788
86,113,places/ChIJp3fopa8LkkYRwPFUZ8nKZ-I,Innovation Home Kamppi,00100,https://maps.google.com/?cid=16314231141543768512
87,114,places/ChIJKUcpI_kLkkYRujwvO_2oD_Q,Quê Em,00100,https://maps.google.com/?cid=17586460875478219962
88,118,places/ChIJVVEbMssLkkYRiNitIVQvoF0,Sushibar+Wine Freda,00100,https://maps.google.com/?cid=6746444280189802632
89,119,places/ChIJaX7rGzILkkYRjxIfEFs8nck,Just Shawarma Food Truck,00100,https://maps.google.com/?cid=14527834334777250447
90,120,places/ChIJ52WUqkQLkkYRJqIcm3-DyLc,Bamilami,00100,https://maps.google.com/?cid=13242979288369373734
91,122,places/ChIJt583fjELkkYRTVTCjEeD_MY,Fredi Pizzeria,00100,https://maps.google.com/?cid=14338479656968279117
92,123,places/ChIJdz28zD4LkkYRtBbulcqnuqM,Pretty Boy Wingery,00100,https://maps.google.com/?cid=11797926662391076532
93,124,places/ChIJ1buDulILkkYRlsl9d6T2HDg,Osaka Sushi Kamppi,00100,https://maps.google.com/?cid=4043377751711664534
94,125,places/ChIJ9Syq1zQKkkYR77XihEAO1_w,Ravintola Sivukaide,00100,https://maps.google.com/?cid=18219046487820776943
95,135,places/ChIJUT9fE20LkkYRRoK9fT3nbj0,Restaurant Big Bowl Noodle,00100,https://maps.google.com/?cid=4426729735040369222
96,136,places/ChIJ6RcJ7RsLkkYRFIpz-Aq9o5E,Bistro Johan,00100,https://maps.google.com/?cid=10494439411519031828
97,138,places/ChIJvVBgRUoLkkYRErIzIYNHB_k,Barbarossa Pizza & Kebab,00100,https://maps.google.com/?cid=17944389868804354578
98,139,places/ChIJY8KObQALkkYRNU27kIn1h0s,Elias Döner Kebab,00100,https://maps.google.com/?cid=5442588645888052533
99,140,places/ChIJV7fq6g0LkkYR9s15vKQj83A,Tawook Lab,00100,https://maps.google.com/?cid=8138888142032326134
100,141,places/ChIJExa9ecwLkkYRfFjZ6gFDGU4,Kiila Food & Bar,00100,https://maps.google.com/?cid=5627602884890286204
101,142,places/ChIJ79BXHGYLkkYRc-4gFm1UpUA,Restaurant Fat Lizard City,00100,https://maps.google.com/?cid=4658222217084071539
102,143,places/ChIJ3cvRAtEJkkYRkWH-F4Z__Ss,Street Canteen,00100,https://maps.google.com/?cid=3169829926643589521
103,144,places/ChIJ7YYxacwLkkYRl_F4QXlo0vc,Viking Restaurant Harald,00100,https://maps.google.com/?cid=17857450342476214679
104,145,places/ChIJUzj3s8ILkkYRErn0YhFbj3A,Sushi Daily,00100,https://maps.google.com/?cid=8110801584150329618
105,146,places/ChIJB0DdEswLkkYR2DUjYMg7EOs,JOE & THE JUICE Stockmann,00100,https://maps.google.com/?cid=16938103930332853720
106,147,places/ChIJwVg2bcwLkkYRzmOulBEIg_E,Fazer Café 8th Floor,00100,https://maps.google.com/?cid=17402762256691651534
107,148,places/ChIJYXUdhdMLkkYRWBr-NeOhxTM,Nepalese Restaurant Base Camp,00100,https://maps.google.com/?cid=3730565863581817432
